| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|  1853 | 0963 (C#3 A5) .. .... 8E3 | ....  ... ..  .. .... ... | 0CC0 (- 0008) .. .... ... | .... .. ... . |
|  1854 | 0945 (- 001E) .. .... 8FC | 099F  D-3 A6  21 .... ... | 099F  D-3 A6  21 .... ... | .... .. ... . |
|  1855 | 0963 (+ 001E) .. .... 915 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1856 | 0981 (D-3 A6) .. .... 92E | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  1857 | 099F (+ 001E) .. .... 947 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1858 | 09BD (+ 001E) .. .... 960 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1859 | 09DB (+ 001E) .. .... 979 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1860 | 09F9 (+ 001E) .. .... 992 | 099F  D-3 A6  21 .... ... | 0B72  F-3 A9  21 .... ... | .... .. ... . |
|  1861 | 09DB (- 001E) .. .... 9AB | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1862 | 09BD (- 001E) .. .... 9C4 | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  1863 | 099F (- 001E) .. .... 9DD | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1864 | 0981 (- 001E) .. .... 9F6 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1865 | 0963 (C#3 A5) .. .... A0F | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1866 | 0945 (- 001E) .. .... A28 | 099F  D-3 A6  21 .... ... | 0C20  F#3 AA  21 .... ... | .... .. ... . |
|  1867 | 0963 (+ 001E) .. .... A41 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1868 | 0981 (D-3 A6) .. .... A5A | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  1869 | 099F (+ 001E) .. .... A73 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1870 | 09BD (+ 001E) .. .... A8C | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1871 | 09DB (+ 001E) .. .... AA5 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1872 | 0CD8  G-3 AB  41 .... 064 | 133F  D-4 B2  21 .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|  1873 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1874 | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  1875 | ....  ... ..  .. .... 0AA | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1876 | ....  ... ..  .. .... 0F0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1877 | ....  ... ..  .. .... 136 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1878 | ....  ... ..  .. .... 17C | 133F  D-4 B2  21 .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|  1879 | ....  ... ..  .. .... 1C2 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1880 | ....  ... ..  .. .... 208 | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  1881 | ....  ... ..  .. .... 24E | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1882 | ....  ... ..  .. .... 294 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1883 | ....  ... ..  .. .... 2DA | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1884 | ....  ... ..  .. .... 320 | 133F  D-4 B2  21 .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|  1885 | ....  ... ..  .. .... 366 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1886 | ....  ... ..  .. .... 3AC | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  1887 | ....  ... ..  .. .... 3F2 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1888 | ....  ... ..  .. .... 438 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1889 | ....  ... ..  .. .... 47E | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1890 | ....  ... ..  .. .... 4C4 | 133F  D-4 B2  21 .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|  1891 | ....  ... ..  .. .... 50A | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1892 | ....  ... ..  .. .... 550 | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  1893 | ....  ... ..  .. .... 596 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1894 | 0CF6 (+ 001E) .. .... 5DC | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1895 | 0D14 (+ 001E) .. .... 5F5 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1896 | 0D32 (+ 001E) .. .... 60E | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1897 | 0D14 (- 001E) .. .... 627 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1898 | 0CF6 (- 001E) .. .... 640 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1899 | 0CD8 (- 001E) .. .... 659 | 1337 (- 0008) .. .... ... | 0CD0 (- 0008) .. .... ... | .... .. ... . |
|  1900 | 0CBA (- 001E) .. .... 672 | 132F (- 0008) .. .... ... | 0CC8 (- 0008) .. .... ... | .... .. ... . |
|  1901 | 0C9C (F#3 AA) 40 .... 68B | 1327 (- 0008) .. .... ... | 0CC0 (- 0008) .. .... ... | .... .. ... . |
|  1902 | 0C7E (- 001E) .. .... 6A4 | 133F  D-4 B2  21 .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|  1903 | 0C9C (+ 001E) .. .... 6BD | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1904 | 0CBA (G-3 AB) .. .... 6D6 | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  1905 | 0CD8 (+ 001E) .. .... 6EF | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1906 | 0CF6 (+ 001E) .. .... 708 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1907 | 0D14 (+ 001E) .. .... 721 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1908 | 0D32 (+ 001E) .. .... 73A | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1909 | 0D14 (- 001E) .. .... 753 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1910 | 0CF6 (- 001E) .. .... 76C | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1911 | 0CD8 (- 001E) .. .... 785 | 1337 (- 0008) .. .... ... | 0CD0 (- 0008) .. .... ... | .... .. ... . |
|  1912 | 0CBA (- 001E) .. .... 79E | 132F (- 0008) .. .... ... | 0CC8 (- 0008) .. .... ... | .... .. ... . |
|  1913 | 0C9C (F#3 AA) .. .... 7B7 | 1327 (- 0008) .. .... ... | 0CC0 (- 0008) .. .... ... | .... .. ... . |
|  1914 | 0C7E (- 001E) .. .... 7D0 | 133F  D-4 B2  21 .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|  1915 | 0C9C (+ 001E) .. .... 7E9 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1916 | 0CBA (G-3 AB) .. .... 802 | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  1917 | 0CD8 (+ 001E) .. .... 81B | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1918 | 0CF6 (+ 001E) .. .... 834 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1919 | 0D14 (+ 001E) .. .... 84D | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1920 | 0D32 (+ 001E) .. .... 866 | 133F  D-4 B2  21 .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1921 | 0D14 (- 001E) .. .... 87F | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1922 | 0CF6 (- 001E) .. .... 898 | ....  ... ..  20 .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1923 | 0CD8 (- 001E) .. .... 8B1 | ....  ... ..  .. .... ... | 0CD0 (- 0008) .. .... ... | .... .. ... . |
|  1924 | 0CBA (- 001E) .. .... 8CA | ....  ... ..  .. .... ... | 0CC8 (- 0008) .. .... ... | .... .. ... . |
|  1925 | 0C9C (F#3 AA) .. .... 8E3 | ....  ... ..  .. .... ... | 0CC0 (- 0008) .. .... ... | .... .. ... . |
|  1926 | 0C7E (- 001E) .. .... 8FC | 133F  D-4 B2  21 .... ... | 099F  D-3 A6  21 .... ... | .... .. ... . |
|  1927 | 0C9C (+ 001E) .. .... 915 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1928 | 0CBA (G-3 AB) .. .... 92E | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  1929 | 0CD8 (+ 001E) .. .... 947 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1930 | 0CF6 (+ 001E) .. .... 960 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1931 | 0D14 (+ 001E) .. .... 979 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1932 | 0D32 (+ 001E) .. .... 992 | 133F  D-4 B2  21 .... ... | 0B72  F-3 A9  21 .... ... | .... .. ... . |
|  1933 | 0D14 (- 001E) .. .... 9AB | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1934 | 0CF6 (- 001E) .. .... 9C4 | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  1935 | 0CD8 (- 001E) .. .... 9DD | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1936 | 0CBA (- 001E) .. .... 9F6 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1937 | 0C9C (F#3 AA) .. .... A0F | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1938 | 0C7E (- 001E) .. .... A28 | 133F  D-4 B2  21 .... ... | 0C20  F#3 AA  21 .... ... | .... .. ... . |
|  1939 | 0C9C (+ 001E) .. .... A41 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1940 | 0CBA (G-3 AB) .. .... A5A | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  1941 | 0CD8 (+ 001E) .. .... A73 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1942 | 0CF6 (+ 001E) .. .... A8C | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1943 | 0D14 (+ 001E) .. .... AA5 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1944 | 0E6B  A-3 AD  41 .... 064 | 19B1  G-4 B7  21 .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|  1945 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1946 | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  1947 | ....  ... ..  .. .... 0AA | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1948 | ....  ... ..  .. .... 0F0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1949 | ....  ... ..  .. .... 136 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1950 | ....  ... ..  .. .... 17C | 19B1  G-4 B7  21 .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|  1951 | ....  ... ..  .. .... 1C2 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1952 | ....  ... ..  .. .... 208 | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  1953 | ....  ... ..  .. .... 24E | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1954 | ....  ... ..  .. .... 294 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1955 | ....  ... ..  .. .... 2DA | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1956 | ....  ... ..  .. .... 320 | 19B1  G-4 B7  21 .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|  1957 | ....  ... ..  .. .... 366 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1958 | ....  ... ..  .. .... 3AC | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  1959 | ....  ... ..  .. .... 3F2 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1960 | ....  ... ..  .. .... 438 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1961 | ....  ... ..  .. .... 47E | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1962 | ....  ... ..  .. .... 4C4 | 19B1  G-4 B7  21 .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|  1963 | ....  ... ..  .. .... 50A | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1964 | ....  ... ..  .. .... 550 | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  1965 | ....  ... ..  .. .... 596 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1966 | 0E89 (+ 001E) .. .... 5DC | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1967 | 0EA7 (+ 001E) .. .... 5F5 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1968 | 0EC5 (+ 001E) .. .... 60E | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1969 | 0EA7 (- 001E) .. .... 627 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1970 | 0E89 (- 001E) .. .... 640 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1971 | 0E6B (- 001E) .. .... 659 | 19A9 (- 0008) .. .... ... | 0CD0 (- 0008) .. .... ... | .... .. ... . |
|  1972 | 0E4D (- 001E) .. .... 672 | 19A1 (- 0008) .. .... ... | 0CC8 (- 0008) .. .... ... | .... .. ... . |
|  1973 | 0E2F (G#3 AC) 40 .... 68B | 1999 (- 0008) .. .... ... | 0CC0 (- 0008) .. .... ... | .... .. ... . |
|  1974 | 0E11 (- 001E) .. .... 6A4 | 19B1  G-4 B7  21 .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|  1975 | 0E2F (+ 001E) .. .... 6BD | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1976 | 0E4D (A-3 AD) .. .... 6D6 | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  1977 | 0E6B (+ 001E) .. .... 6EF | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1978 | 0E89 (+ 001E) .. .... 708 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1979 | 0EA7 (+ 001E) .. .... 721 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1980 | 0EC5 (+ 001E) .. .... 73A | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1981 | 0EA7 (- 001E) .. .... 753 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1982 | 0E89 (- 001E) .. .... 76C | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1983 | 0E6B (- 001E) .. .... 785 | 19A9 (- 0008) .. .... ... | 0CD0 (- 0008) .. .... ... | .... .. ... . |
|  1984 | 0E4D (- 001E) .. .... 79E | 19A1 (- 0008) .. .... ... | 0CC8 (- 0008) .. .... ... | .... .. ... . |
|  1985 | 0E2F (G#3 AC) .. .... 7B7 | 1999 (- 0008) .. .... ... | 0CC0 (- 0008) .. .... ... | .... .. ... . |
|  1986 | 0E11 (- 001E) .. .... 7D0 | 19B1  G-4 B7  21 .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|  1987 | 0E2F (+ 001E) .. .... 7E9 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1988 | 0E4D (A-3 AD) .. .... 802 | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  1989 | 0E6B (+ 001E) .. .... 81B | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1990 | 0E89 (+ 001E) .. .... 834 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1991 | 0EA7 (+ 001E) .. .... 84D | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1992 | 0EC5 (+ 001E) .. .... 866 | 19B1  G-4 B7  21 .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1993 | 0EA7 (- 001E) .. .... 87F | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1994 | 0E89 (- 001E) .. .... 898 | ....  ... ..  20 .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  1995 | 0E6B (- 001E) .. .... 8B1 | ....  ... ..  .. .... ... | 0CD0 (- 0008) .. .... ... | .... .. ... . |
|  1996 | 0E4D (- 001E) .. .... 8CA | ....  ... ..  .. .... ... | 0CC8 (- 0008) .. .... ... | .... .. ... . |
|  1997 | 0E2F (G#3 AC) .. .... 8E3 | ....  ... ..  .. .... ... | 0CC0 (- 0008) .. .... ... | .... .. ... . |
|  1998 | 0E11 (- 001E) .. .... 8FC | 19B1  G-4 B7  21 .... ... | 099F  D-3 A6  21 .... ... | .... .. ... . |
|  1999 | 0E2F (+ 001E) .. .... 915 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2000 | 0E4D (A-3 AD) .. .... 92E | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  2001 | 0E6B (+ 001E) .. .... 947 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2002 | 0E89 (+ 001E) .. .... 960 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2003 | 0EA7 (+ 001E) .. .... 979 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2004 | 0EC5 (+ 001E) .. .... 992 | 19B1  G-4 B7  21 .... ... | 0B72  F-3 A9  21 .... ... | .... .. ... . |
|  2005 | 0EA7 (- 001E) .. .... 9AB | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2006 | 0E89 (- 001E) .. .... 9C4 | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  2007 | 0E6B (- 001E) .. .... 9DD | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2008 | 0E4D (- 001E) .. .... 9F6 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2009 | 0E2F (G#3 AC) .. .... A0F | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2010 | 0E11 (- 001E) .. .... A28 | 19B1  G-4 B7  21 .... ... | 0C20  F#3 AA  21 .... ... | .... .. ... . |
|  2011 | 0E2F (+ 001E) .. .... A41 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2012 | 0E4D (A-3 AD) .. .... A5A | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  2013 | 0E6B (+ 001E) .. .... A73 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2014 | 0E89 (+ 001E) .. .... A8C | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2015 | 0EA7 (+ 001E) .. .... AA5 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2016 | 0EC5 (+ 001E) .. .... ABE | 0F46  A#3 AE  21 10C9 ... | 0CD8  G-3 AB  21 10C9 ... | .... .. ... . |
|  2017 | 0EA7 (- 001E) .. .... AD7 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2018 | 0E89 (- 001E) .. .... AF0 | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  2019 | 0E6B (- 001E) .. .... B09 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2020 | 0E4D (- 001E) .. .... B22 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2021 | 0E2F (G#3 AC) .. .... B3B | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2022 | 0E11 (- 001E) .. .... B54 | 0F46  A#3 AE  21 .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|  2023 | 0E2F (+ 001E) .. .... B6D | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2024 | 0E4D (A-3 AD) .. .... B86 | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  2025 | 0E6B (+ 001E) .. .... B9F | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2026 | 0E89 (+ 001E) .. .... BB8 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2027 | 0EA7 (+ 001E) .. .... BD1 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2028 | 0EC5 (+ 001E) .. .... BEA | 0F46  A#3 AE  21 20B9 ... | 0CD8  G-3 AB  21 20B9 ... | .... .. ... . |
|  2029 | 0EA7 (- 001E) .. .... C03 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2030 | 0E89 (- 001E) .. .... C1C | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  2031 | 0E6B (- 001E) .. .... C35 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2032 | 0E4D (- 001E) .. .... C4E | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2033 | 0E2F (G#3 AC) .. .... C67 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2034 | 0E11 (- 001E) .. .... C80 | 0F46  A#3 AE  21 .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|  2035 | 0E2F (+ 001E) .. .... C99 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2036 | 0E4D (A-3 AD) .. .... CB2 | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  2037 | 0E6B (+ 001E) .. .... CCB | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2038 | 0E89 (+ 001E) .. .... CE4 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2039 | 0EA7 (+ 001E) .. .... CFD | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2040 | 0EC5 (+ 001E) .. .... D16 | 0F46  A#3 AE  21 30A9 ... | 0CD8  G-3 AB  21 30A9 ... | .... .. ... . |
|  2041 | 0EA7 (- 001E) .. .... D2F | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2042 | 0E89 (- 001E) .. .... D48 | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  2043 | 0E6B (- 001E) .. .... D61 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2044 | 0E4D (- 001E) .. .... D7A | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2045 | 0E2F (G#3 AC) .. .... D93 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2046 | 0E11 (- 001E) .. .... DAC | 0F46  A#3 AE  21 .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|  2047 | 0E2F (+ 001E) .. .... DC5 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2048 | 0E4D (A-3 AD) .. .... DDE | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  2049 | 0E6B (+ 001E) .. .... DF7 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2050 | 0E89 (+ 001E) .. .... E10 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2051 | 0EA7 (+ 001E) .. .... E29 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2052 | 0EC5 (+ 001E) .. .... E42 | 0F46  A#3 AE  21 4099 ... | 0CD8  G-3 AB  21 4099 ... | .... .. ... . |
|  2053 | 0EA7 (- 001E) .. .... E5B | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2054 | 0E89 (- 001E) .. .... E74 | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  2055 | 0E6B (- 001E) .. .... E8D | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2056 | 0E4D (- 001E) .. .... EA6 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2057 | 0E2F (G#3 AC) .. .... EBF | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2058 | 0E11 (- 001E) .. .... ED8 | 0F46  A#3 AE  21 .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|  2059 | 0E2F (+ 001E) .. .... EF1 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2060 | 0E4D (A-3 AD) .. .... F0A | ....  ... ..  20 .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|  2061 | 0E6B (+ 001E) .. .... F23 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  2062 | 0E89 (+ 001E) .. .... F3C | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
